Company,Actual,Predicted,Error
KOTAKBANK,717.1162240868675,692.9102963724376,24.20592771442989
KOTAKBANK,712.2338253563553,697.6701602699363,14.56366508641895
KOTAKBANK,709.1947754971825,693.7137618943366,15.481013602845906
KOTAKBANK,693.1027786423278,692.6247011567616,0.47807748556624574
KOTAKBANK,696.4407819303433,680.9690683493222,15.47171358102105
KOTAKBANK,714.2763637860526,682.8585509652899,31.41781282076272
KOTAKBANK,706.7037223785683,692.7212804743185,13.982441904249754
KOTAKBANK,710.0915512380575,690.8325587692275,19.25899246883
KOTAKBANK,725.7850844305435,693.4522058259836,32.33287860455994
KOTAKBANK,725.3366824691639,702.5377071474131,22.79897532175073
KOTAKBANK,725.1373238195001,703.2612770272713,21.876046792228863
KOTAKBANK,728.5749500685788,705.3911511164692,23.183798952109555
KOTAKBANK,723.3936260911082,706.801175334539,16.59245075656918
KOTAKBANK,728.4752143799783,704.2409075080404,24.23430687193786
KOTAKBANK,725.5856975989955,708.8418819417557,16.743815657239793
KOTAKBANK,720.454227374883,706.7575215957309,13.696705779152126
KOTAKBANK,730.1193173291913,703.0386401411611,27.080677188030222
KOTAKBANK,740.6813239337962,709.9432299808932,30.738093952903
KOTAKBANK,792.3452560853866,716.8225406703923,75.52271541499431
KOTAKBANK,782.2315668965084,755.7737093519004,26.457857544608032
KOTAKBANK,772.8154357082631,748.9893997944364,23.826035913826672
KOTAKBANK,771.3707759543668,745.647591952038,25.723184002328708
KOTAKBANK,774.2603209172339,741.4012019868087,32.85911893042521
KOTAKBANK,767.6342808220984,741.1411959220932,26.493084900005215
KOTAKBANK,762.5525516238067,741.2342806859947,21.31827093781203
KOTAKBANK,763.9474421699979,739.678809762961,24.268632407036876
KOTAKBANK,770.5735949926707,741.9098286349754,28.663766357695295
KOTAKBANK,764.8442460927572,748.0603557960176,16.783890296739628
KOTAKBANK,766.8868972499918,742.5753720150233,24.311525234968485
KOTAKBANK,776.1037543342263,744.7251988783182,31.3785554559081
KOTAKBANK,790.302689473805,750.8164313547559,39.486258119049126
KOTAKBANK,787.46282917299,760.8819013395664,26.58092783342363
KOTAKBANK,781.4842396881704,758.3978091463787,23.086430541791742
KOTAKBANK,789.6548443171087,755.4501531380483,34.20469117906032
KOTAKBANK,793.6404954886302,760.7534764927304,32.88701899589978
KOTAKBANK,794.1884640473045,765.5611932298007,28.627270817503813
KOTAKBANK,795.0354987623587,767.0132084555039,28.022290306854757
KOTAKBANK,792.9928194232398,766.5255773111539,26.46724211208584
KOTAKBANK,808.0386765503354,766.3839633424573,41.6547132078781
KOTAKBANK,797.6261466601518,777.004221901947,20.62192475820484
KOTAKBANK,799.2203958560067,769.6528646501256,29.567531205881096
KOTAKBANK,821.1913310527334,771.8446261572853,49.346704895448056
KOTAKBANK,813.2200287096903,787.2043449300277,26.015683779662595
KOTAKBANK,806.5938477051332,782.437914653483,24.15593305165021
KOTAKBANK,816.0098661658412,777.0558511140171,38.95401505182417
KOTAKBANK,814.0668943334385,785.0096243250146,29.057270008423984
KOTAKBANK,821.9385455335341,783.6891057715379,38.2494397619962
KOTAKBANK,822.486570455977,792.8645354858254,29.622034970151617
KOTAKBANK,825.9241967050557,790.2091256178701,35.715071087185606
KOTAKBANK,833.1481718397608,796.0597975297715,37.088374309989376
KOTAKBANK,841.1194178190353,802.7126385968932,38.40677922214218
KOTAKBANK,848.3435620450464,808.4767357601704,39.86682628487597
KOTAKBANK,845.2047201335045,814.2632657033646,30.941454430139856
KOTAKBANK,851.5319477092189,810.466884066921,41.0650636422979
KOTAKBANK,856.4641720112049,817.9146797268777,38.54949228432724
KOTAKBANK,859.1047018442405,820.2166324017198,38.888069442520646
KOTAKBANK,865.0333248481647,821.4973299526555,43.53599489550925
KOTAKBANK,876.1931819466863,828.6104375544546,47.58274439223169
KOTAKBANK,868.0225209539794,837.5449403397097,30.477580614269755
KOTAKBANK,856.364577232026,829.0780877428233,27.286489489202722
KOTAKBANK,854.5211438150336,823.4257599327502,31.095383882283386
KOTAKBANK,862.0440723785814,821.3857860545259,40.65828632405555
KOTAKBANK,869.0688015911601,829.5332251745549,39.53557641660518
KOTAKBANK,872.8053249053128,834.2901581560845,38.51516674922823
KOTAKBANK,886.6552555895005,837.3361125769152,49.3191430125853
KOTAKBANK,891.1392752032971,850.0295714562399,41.10970374705721
KOTAKBANK,869.9654927863821,852.3925660925142,17.572926693867885
KOTAKBANK,874.2002154515039,834.725060994876,39.47515445662793
KOTAKBANK,877.8870259217201,837.0896338166722,40.79739210504795
KOTAKBANK,876.2428384268542,842.0528581914077,34.189980235446455
KOTAKBANK,876.3424895698017,839.2899062528959,37.05258331690584
KOTAKBANK,884.413499419561,839.5695832728652,44.84391614669585
KOTAKBANK,878.4848764156368,846.8564040095989,31.628472406037872
KOTAKBANK,872.4565459049963,843.560758093713,28.8957878112833
KOTAKBANK,885.9578666801735,836.9911099490973,48.9667567310762
KOTAKBANK,877.239293492561,849.5012174890508,27.738076003510287
KOTAKBANK,892.5341093857196,843.6129509434695,48.92115844225009
KOTAKBANK,894.7759782831963,854.0625118296466,40.7134664535497
KOTAKBANK,897.1176674149265,855.0256559080899,42.09201150683657
KOTAKBANK,913.3591691660868,862.3661349525646,50.99303421352215
KOTAKBANK,898.7119166107814,869.8453815954199,28.866535015361478
KOTAKBANK,914.6046957253939,861.4012435972936,53.20345212810025
KOTAKBANK,913.6580662311608,873.1507784432797,40.50728778788107
KOTAKBANK,902.1994247951025,873.5289793308239,28.6704454642786
KOTAKBANK,905.0392005502645,862.8822016181912,42.15699893207329
KOTAKBANK,904.0924583284941,865.5849570518003,38.5075012766938
KOTAKBANK,903.5943153412936,865.0402012279383,38.554114113355354
KOTAKBANK,924.3197239787132,866.182187544262,58.13753643445125
KOTAKBANK,933.4368453743473,884.3409592493272,49.095886125020115
KOTAKBANK,951.2227707498887,893.2488583357863,57.973912414102415
KOTAKBANK,969.8057361777046,908.5425469535721,61.263189224132475
KOTAKBANK,956.4041229092436,925.7798837689843,30.624239140259306
KOTAKBANK,947.7850881370414,911.6356778487507,36.14941028829071
KOTAKBANK,939.4650631574505,903.0561540783619,36.40890907908852
KOTAKBANK,933.9848139330215,895.7129132092241,38.271900723797444
KOTAKBANK,937.8708703253642,893.162621769774,44.70824855559022
KOTAKBANK,936.874471623426,898.26833375162,38.60613787180591
KOTAKBANK,932.7393437374831,896.2635308650242,36.475812872458846
KOTAKBANK,953.0660914393438,893.5692299967104,59.49686144263342
KOTAKBANK,961.5855314323671,913.1336577277762,48.45187370459098
KOTAKBANK,965.072757797845,920.0669649076281,45.00579289021698
KOTAKBANK,958.4964587285303,920.5102659479462,37.98619278058413
KOTAKBANK,962.5817610429995,914.687099555139,47.8946614878605
KOTAKBANK,959.1940167291632,921.0490472123329,38.144969516830315
KOTAKBANK,961.784720990725,915.769960278164,46.01476071256093
KOTAKBANK,963.5283905372326,919.2926958178823,44.23569471935025
KOTAKBANK,962.9305400433159,918.8121383264961,44.11840171681979
KOTAKBANK,965.1725216683299,919.120786323544,46.05173534478581
KOTAKBANK,975.3359237011446,922.016700392267,53.319223308877554
KOTAKBANK,981.5633310426056,932.4203248070062,49.14300623559939
KOTAKBANK,973.1935932190781,937.3675982352179,35.825994983860255
KOTAKBANK,970.7025401004639,930.0524828866292,40.65005721383477
KOTAKBANK,964.5746711744132,928.1422584038037,36.43241277060952
KOTAKBANK,959.1443038852267,921.0452708398343,38.09903304539239
KOTAKBANK,979.1222162230024,917.2220600495202,61.90015617348217
KOTAKBANK,984.004558589746,936.6420838053418,47.362474784404185
KOTAKBANK,979.5208207947926,942.1241930341357,37.396627760656884
KOTAKBANK,988.3888143330578,935.4330809681105,52.955733364947264
KOTAKBANK,994.3174937007507,944.3361891342356,49.981304566515064
KOTAKBANK,981.6630949130904,951.654291762562,30.008803150528365
KOTAKBANK,971.2506213866754,938.3306859498925,32.91993543678291
KOTAKBANK,968.7097426965875,927.5443515461184,41.16539115046908
KOTAKBANK,944.945368745648,927.205774387925,17.739594357723036
KOTAKBANK,952.3187642310058,906.1270776486981,46.19168658230774
KOTAKBANK,945.4436244603858,910.5765462723211,34.867078188064625
KOTAKBANK,955.357842272063,905.3791868026738,49.978655469389196
KOTAKBANK,956.4041229092436,915.1825370814449,41.22158582779866
KOTAKBANK,954.6602842714301,917.4321841789933,37.22810009243676
KOTAKBANK,961.2366960682821,915.3707357049188,45.86596036336323
KOTAKBANK,964.5248456029394,920.6627863058739,43.86205929706557
KOTAKBANK,955.3081294281264,923.412549122525,31.89558030560147
KOTAKBANK,953.8125168273837,913.494273119506,40.31824370787763
KOTAKBANK,959.2462659426883,911.9173276006222,47.32893834206607
